,Covidence #,Study ID,Title,Short Title,Year,Organization(s)/Association(s),Country,Topic/Category,Grading Method,Overall guideline assessment: Rate the overall quality of this guideline.,Number of LoE levels,Number of SoR levels,Recommendation,LoE (Text),LoE (Number),SoR (Text),SoR (Number),Specific target group?,LoE (scaled),Source,AI Clustering
0,16,McDonagh 2021,2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure.,Diagnosis and treatment of acute and chronic heart failure,2021,European Society of Cardiology,Other: Europe,Heart Failure,Other: custom,5,3,3,Long-term treatment with an oral anticoagulant should be considered for stroke prevention in artrial fibrillation patients with a CHA2DS2-VASc score of 1 in men or 2 in women.,B,2,IIa,2,,0.666666666666667,"McDonagh TA, Metra M, Adamo M, Gardner RS, Baumbach A, Böhm M, et al. 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure. European Heart Journal. 2021 Sep 21;42(36):3599–726.",15
1,16,McDonagh 2021,2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure.,Diagnosis and treatment of acute and chronic heart failure,2021,European Society of Cardiology,Other: Europe,Heart Failure,Other: custom,5,3,3,"Long-term treatment with an oral anticoagulant is recommended in all patients with atrial fibrillation, heart failure, and CHA2DS2-VASc score ≥ 2 in men or ≥ 3 in women.",A,3,I,3,,1,"McDonagh TA, Metra M, Adamo M, Gardner RS, Baumbach A, Böhm M, et al. 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure. European Heart Journal. 2021 Sep 21;42(36):3599–726.",15
2,81,Ewig 2021,"[Management of Adult Community-Acquired Pneumonia and Prevention - Update 2021 - Guideline of the German Respiratory Society (DGP), the Paul-Ehrlich-Society for Chemotherapy (PEG), the German Society for Infectious Diseases (DGI), the German Society of Me",Behandlung von erwachsenen Patienten mit ambulant erworbener Pneumonie,2021,"Deutsche Gesellschaft für Pneumologie und Beatmungsmedizin, Paul-Ehrlich-Gesellschaft für Chemotherapie, Deutsche Gesellschaft für Infektiologie, Deutsche Gesellschaft für Internistische Intensivmedizin und Notfallmedizin, Gesellschaft für Virologie, Kompetenznetzwerk CAPNETZ, Deutsche Gesellschaft für Allgemeinmedizin, Deutsche Gesellschaft für Geriatrie, Deutsche Gesellschaft für Palliativmedizin, Österreichische Gesellschaft für Pneumologie, Österreichische Gesellschaft für Infektionskrankheiten und Tropenmedizin, Schweizerische Gesellschaft für Pneumologie, Schweizerische Gesellschaft für Infektiologie",Germany,Pneumonia & COPD,Other: modified Grade,5,3,3,"Im Zentrum der initialen Risikostratifizierung (ambulant und in der Notaufnahme) zur Entscheidung über das Behandlungssetting steht die ärztliche Einschätzung des Patienten. Zur Identifikation von Patienten mit einem minimalen Letalitätsrisiko soll zur Ergänzung der klinischen Einschätzung die Verwendung des CRB-65 Scores erfolgen. Dieser Score soll ergänzt werden durch:
- die Evaluation des funktionellen Status
- die klinische Evaluation potenziell instabiler Komorbiditäten
- die Messung der Oxygenierung",B,2,Stark,3,,0.666666666666667,Deutsche Gesellschaft für Pneumologie und Beatmungsmedizin e.V. (DGP). S3-Leitlinie Behandlung von erwachsenen Patienten mit ambulant erworbener Pneumonie. 2021 Apr 24 [cited 2021 Dec 18]; Available from: https://register.awmf.org/de/leitlinien/detail/020-020,5
3,81,Ewig 2021,"[Management of Adult Community-Acquired Pneumonia and Prevention - Update 2021 - Guideline of the German Respiratory Society (DGP), the Paul-Ehrlich-Society for Chemotherapy (PEG), the German Society for Infectious Diseases (DGI), the German Society of Me",Behandlung von erwachsenen Patienten mit ambulant erworbener Pneumonie,2021,"Deutsche Gesellschaft für Pneumologie und Beatmungsmedizin, Paul-Ehrlich-Gesellschaft für Chemotherapie, Deutsche Gesellschaft für Infektiologie, Deutsche Gesellschaft für Internistische Intensivmedizin und Notfallmedizin, Gesellschaft für Virologie, Kompetenznetzwerk CAPNETZ, Deutsche Gesellschaft für Allgemeinmedizin, Deutsche Gesellschaft für Geriatrie, Deutsche Gesellschaft für Palliativmedizin, Österreichische Gesellschaft für Pneumologie, Österreichische Gesellschaft für Infektionskrankheiten und Tropenmedizin, Schweizerische Gesellschaft für Pneumologie, Schweizerische Gesellschaft für Infektiologie",Germany,Pneumonia & COPD,Other: modified Grade,5,3,3,Bei Verordnung einer antimikrobiellen Substanz sollten relevante Interaktionen mit der Ko-Medikation berücksichtigt werden. Dies gilt insbesondere für die Interaktion zwischen Clarithromycin und Statinen bzw. Antikoagulatien sowie für die Interaktion von Makroliden bzw. Fluorochinolonen mit anderen QT-Zeit verlängernden Substanzen. Unter den Makroliden weist Azithromycin deutliche Vorteile gegenüber Clarithromycin hinsichtlich des Interaktionspotentials auf. Es sollte daher insbesondere bei älteren Patienten bzw. interaktions-relevanter Ko-Medikation bevorzugt eingesetzt werden.,B,2,Stark,3,,0.666666666666667,Deutsche Gesellschaft für Pneumologie und Beatmungsmedizin e.V. (DGP). S3-Leitlinie Behandlung von erwachsenen Patienten mit ambulant erworbener Pneumonie. 2021 Apr 24 [cited 2021 Dec 18]; Available from: https://register.awmf.org/de/leitlinien/detail/020-020,5
4,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Discuss with the person the purpose of the approach to care, that is, to improve quality of life. This might include reducing treatment burden and optimising care and support by identifying:
- ways of maximising benefit from existing treatments
- treatments that could be stopped because of limited benefit
- treatments and follow-up arrangements with a high burden
- medicines with a higher risk of adverse events (for example, falls, gastrointestinal bleeding, acute kidney injury)
- non-pharmacological treatments as possible alternatives to some medicines
- alternative arrangements for follow-up to coordinate or optimise the number of appointments",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
5,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Tell a person who has been taking bisphosphonate for osteoporosis for at least 3 years that there is no consistent evidence of:
- further benefit from continuing bisphosphonate for another 3 years
- harms from stopping bisphosphonate after 3 years of treatment. Discuss stopping bisphosphonate after 3 years and include patient choice, fracture risk and life expectancy in the discussion",Very Low,1,Strong,2,,0.25,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,7
6,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Establish disease burden by talking to people about how their health problems affect their day-to-day life. Include a discussion of:
- mental health
- how disease burden affects their wellbeing
- how their health problems interact and how this affects quality of life",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
7,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Consider using a validated tool such as eFI, PEONY or QAdmissions, if available in primary care electronic health records, to identify adults with multimorbidity who are at risk of adverse events such as unplanned hospital admission or admission to care homes.",Low,2,Weak,1,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
8,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Follow these steps when delivering an approach to care that takes account of multimorbidity:
- Discuss the purpose of an approach to care that takes account of multimorbidity
- Establish disease and treatment burden
- Establish patient goals, values and priorities
- Review medicines and other treatments taking into account evidence of likely benefits and harms for the individual patient and outcomes important to the person
- Agree an individualised management plan with the person, including:
   - goals and plans for future care (including advance care planning)
   - who is responsible for coordination of care
   - how the individualised management plan and the responsibility for coordination of care is communicated to all professionals and services involved
   - timing of follow-up and how to access urgent care",Low,2,Strong,2,,0.5,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
9,1429,NationalGuidelineCentre(UK) 2016,,Multimorbidity: clinical assessment and management,2016,National Institute for Health and Care Excellence,UK,Multimorbidity,GRADE,6,4,3,"Use an approach to care that takes account of multimorbidity for adults of any age who are prescribed 15 or more regular medicines, because they are likely to be at higher risk of adverse events and drug interactions.",Very Low,1,Strong,2,,0.25,National Institute for Health and Care Excellence. Multimorbidity: Clinical Assessment and Management [Internet]. London: National Institutefor Health and Care Excellence; 2016 [cited 2021 Dec 18]. Available from: https://www.nice.org.uk/guidance/ng56,20
